optimizer,seed,data_seed,tokens,data_exposure,iteration,val_loss,val_perplexity,val_accuracy,num_eval_batches,train_time_seconds,mean_tokens_per_second,peak_memory_bytes,experiment_dir
adafactor,0,1337,67108864,0.1250019073777371,1024,5.0308027267456055,153.05530746366406,0.2279491424560547,64,1182.1543548539998,227073.10166205216,6040051712,/root/autodl-tmp/llm-optimizer-results/formal/sub1_main_token-bin_adafactor_seed0_lrscale0p3_tokens268435456
adafactor,0,1337,134217728,0.2500038147554742,2048,4.611979007720947,100.6828931008601,0.2649803161621094,64,1182.1543548539998,227073.10166205216,6040051712,/root/autodl-tmp/llm-optimizer-results/formal/sub1_main_token-bin_adafactor_seed0_lrscale0p3_tokens268435456
adafactor,0,1337,268435456,0.5000076295109483,4096,4.321353912353516,75.29027719728664,0.2892436981201172,64,1182.1543548539998,227073.10166205216,6040051712,/root/autodl-tmp/llm-optimizer-results/formal/sub1_main_token-bin_adafactor_seed0_lrscale0p3_tokens268435456
adamw,0,1337,16777216,0.03125047684443427,256,5.626274585723877,277.6248664569638,0.1855449676513672,64,1098.9983692469998,244254.64451227876,6175430656,/root/autodl-tmp/llm-optimizer-results/formal/sub1_main_token-bin_adamw_seed0_lrscale1_tokens268435456
adamw,0,1337,33554432,0.06250095368886854,512,5.043008327484131,154.93488552851235,0.22411346435546875,64,1098.9983692469998,244254.64451227876,6175430656,/root/autodl-tmp/llm-optimizer-results/formal/sub1_main_token-bin_adamw_seed0_lrscale1_tokens268435456
adamw,0,1337,67108864,0.1250019073777371,1024,4.544707298278809,94.13258255880584,0.2710132598876953,64,1098.9983692469998,244254.64451227876,6175430656,/root/autodl-tmp/llm-optimizer-results/formal/sub1_main_token-bin_adamw_seed0_lrscale1_tokens268435456
adamw,0,1337,134217728,0.2500038147554742,2048,4.271139621734619,71.60298397602084,0.29346275329589844,64,1098.9983692469998,244254.64451227876,6175430656,/root/autodl-tmp/llm-optimizer-results/formal/sub1_main_token-bin_adamw_seed0_lrscale1_tokens268435456
adamw,0,1337,268435456,0.5000076295109483,4096,4.083443641662598,59.34933373277334,0.3088035583496094,64,1098.9983692469998,244254.64451227876,6175430656,/root/autodl-tmp/llm-optimizer-results/formal/sub1_main_token-bin_adamw_seed0_lrscale1_tokens268435456
ademamix,0,1337,16777216,0.03125047684443427,256,5.676942825317383,292.0540847041283,0.18198013305664062,64,1127.8803733319994,237999.93540714282,6314994176,/root/autodl-tmp/llm-optimizer-results/formal/sub1_main_token-bin_ademamix_seed0_lrscale1_tokens268435456
ademamix,0,1337,33554432,0.06250095368886854,512,5.0648016929626465,158.34849776052857,0.22062301635742188,64,1127.8803733319994,237999.93540714282,6314994176,/root/autodl-tmp/llm-optimizer-results/formal/sub1_main_token-bin_ademamix_seed0_lrscale1_tokens268435456
